127.0.0.1 - - [15/Jul/2023:13:16:37 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [15/Jul/2023:13:16:39 +0530] "GET /spring-mvc-user-project/ HTTP/1.1" 200 524
0:0:0:0:0:0:0:1 - - [15/Jul/2023:13:16:39 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [15/Jul/2023:13:16:45 +0530] "GET /spring-mvc-user-project/edit.jsp HTTP/1.1" 200 238
0:0:0:0:0:0:0:1 - - [15/Jul/2023:13:17:07 +0530] "GET /spring-mvc-user-project/edit.jsp HTTP/1.1" 200 270
0:0:0:0:0:0:0:1 - - [15/Jul/2023:13:36:16 +0530] "GET /spring-mvc-user-project/edit.jsp HTTP/1.1" 200 274
0:0:0:0:0:0:0:1 - - [15/Jul/2023:13:36:30 +0530] "GET /spring-mvc-user-project/edit?id= HTTP/1.1" 400 762
0:0:0:0:0:0:0:1 - - [15/Jul/2023:13:39:05 +0530] "GET /spring-mvc-user-project/edit?id=1 HTTP/1.1" 200 501
0:0:0:0:0:0:0:1 - - [15/Jul/2023:13:42:00 +0530] "GET /spring-mvc-user-project/edit?id=1 HTTP/1.1" 500 5311
0:0:0:0:0:0:0:1 - - [15/Jul/2023:13:44:35 +0530] "GET /spring-mvc-user-project/edit.jsp HTTP/1.1" 200 274
0:0:0:0:0:0:0:1 - - [15/Jul/2023:13:44:35 +0530] "GET /spring-mvc-user-project/edit.jsp HTTP/1.1" 200 274
0:0:0:0:0:0:0:1 - - [15/Jul/2023:13:44:39 +0530] "GET /spring-mvc-user-project/edit?id=6 HTTP/1.1" 200 150
0:0:0:0:0:0:0:1 - - [15/Jul/2023:13:44:44 +0530] "GET /spring-mvc-user-project/edit?id=1 HTTP/1.1" 500 5311
0:0:0:0:0:0:0:1 - - [15/Jul/2023:13:45:36 +0530] "GET /spring-mvc-user-project/edit.jsp HTTP/1.1" 200 274
0:0:0:0:0:0:0:1 - - [15/Jul/2023:13:45:39 +0530] "GET /spring-mvc-user-project/edit?id=1 HTTP/1.1" 500 11826
0:0:0:0:0:0:0:1 - - [15/Jul/2023:13:45:54 +0530] "GET /spring-mvc-user-project/edit.jsp HTTP/1.1" 200 274
0:0:0:0:0:0:0:1 - - [15/Jul/2023:13:45:57 +0530] "GET /spring-mvc-user-project/edit?id=1 HTTP/1.1" 200 614
0:0:0:0:0:0:0:1 - - [15/Jul/2023:13:47:41 +0530] "POST /spring-mvc-user-project/update HTTP/1.1" 200 151
0:0:0:0:0:0:0:1 - - [15/Jul/2023:13:48:37 +0530] "GET /spring-mvc-user-project/edit.jsp HTTP/1.1" 200 274
0:0:0:0:0:0:0:1 - - [15/Jul/2023:13:48:39 +0530] "GET /spring-mvc-user-project/edit?id=1 HTTP/1.1" 500 5309
0:0:0:0:0:0:0:1 - - [15/Jul/2023:13:48:56 +0530] "GET /spring-mvc-user-project/edit.jsp HTTP/1.1" 200 274
0:0:0:0:0:0:0:1 - - [15/Jul/2023:13:48:59 +0530] "GET /spring-mvc-user-project/edit?id=1 HTTP/1.1" 200 626
0:0:0:0:0:0:0:1 - - [15/Jul/2023:13:49:04 +0530] "POST /spring-mvc-user-project/update HTTP/1.1" 500 15370
